v1,v2
ex 1,-0.430457333011387,-1.27114877200157
ex 2,0.749598062865043,0.322059277350052
ex 3,-2.29351044252849,0.123708884213596
ex 4,-0.224945358737354,-1.14856567613378
ex 5,-2.59836412585323,0.242522975441178
ex 6,-1.64214101525777,-1.82964350793306
ex 7,0.414098319874107,-1.71602227933586
ex 8,0.359355209992979,-0.811293313561572
ex 9,-0.116950499147717,-2.12324292434538
ex 10,-0.616205209291647,-1.26215384901760
ex 11,-1.80570419484951,-0.283266570138291
ex 12,0.677373891617082,-0.730468027492823
ex 13,-1.32340494829121,-0.992579576897117
ex 14,-0.230330221774565,-0.283155915734874
ex 15,-0.79765055811922,-1.13506645343385
ex 16,-1.44895305284521,0.599083550756597
ex 17,-1.36421659501382,-1.73803781109923
ex 18,-0.818905923126406,-2.92509644115441
ex 19,-2.87305699471854,-2.2126925341333
ex 20,-1.06899263930643,-2.66521947794864
ex 21,-1.36203764890402,-2.86909374673366
ex 22,-2.0117074123261,-0.311095381243949
ex 23,-1.47100938651807,0.382493472027104
ex 24,-0.371371705876146,0.457121492436391
ex 25,-1.10494137183137,-0.309956853420485
ex 26,-0.441732998383888,-0.639316451428854
ex 27,-0.242363897767637,-2.13959609761624
ex 28,-0.199780331566826,-1.76069281228592
ex 29,-0.477062273602464,-1.16188995566540
ex 30,-0.0666818699340044,-0.958860272299593
ex 31,-0.322793700738669,1.17308287458712
ex 32,0.559878961027454,-0.503060692972157
ex 33,1.06320705165854,-0.931539387111486
ex 34,0.784498588396441,-3.28650742534279
ex 35,-1.57189875957747,-0.580007655332767
ex 36,0.309054199225566,-1.96359565983531
ex 37,-0.856534590008227,-0.172968537173308
ex 38,-0.343922204647009,-0.75396897908738
ex 39,0.874633264195052,-2.10950512368447
ex 40,-2.96271301835156,-2.08401378140564
ex 41,0.510979357688051,0.528880942304201
ex 42,-0.654191030710777,-0.526861909660394
ex 43,1.05453237033390,1.05842340330185
ex 44,-1.25781913500907,-1.50089995814383
ex 45,-0.383739413291477,-2.50868173466190
ex 46,1.14773628715761,-1.05796560737437
ex 47,-3.37415358164222,-0.374242984662321
ex 48,-0.400736390798079,-2.68505899312262
ex 49,-1.39272222097066,-1.44318029163475
ex 50,-0.640386548417275,-0.558824533527954
ex 51,-0.706020441831017,0.414298211291187
